creditscore,geography,gender,age,tenure,balance,numofproducts,numofproducts,isactivemember,estimatedsalary,exited
619,France,Female,42,2,0,1,1,Has Credit Card,101348.88,Stayed
608,Spain,Female,41,1,83807.86,1,1,Has Credit Card,112542.58,Churned
502,France,Female,42,8,159660.8,3,3,No Credit Card,113931.57,Stayed
699,France,Female,39,1,0,2,2,No Credit Card,93826.63,Churned
645,Spain,Male,44,8,113755.78,2,2,No Credit Card,149756.71,Stayed
376,Germany,Female,29,4,115046.74,4,4,No Credit Card,119346.88,Stayed
528,France,Male,31,6,102016.72,2,2,No Credit Card,80181.12,Churned
497,Spain,Male,24,3,0,2,2,No Credit Card,76390.01,Churned
476,France,Female,34,10,0,2,2,No Credit Card,26260.98,Churned
549,France,Female,25,5,0,2,2,No Credit Card,190857.79,Churned
635,Spain,Female,35,7,0,2,2,Has Credit Card,65951.65,Churned
616,Germany,Male,45,3,143129.41,2,2,Has Credit Card,64327.26,Churned
653,Germany,Male,58,1,132602.88,1,1,No Credit Card,5097.67,Stayed
549,Spain,Female,24,9,0,2,2,Has Credit Card,14406.41,Churned
587,Spain,Male,45.25,6,0,1,1,No Credit Card,158684.81,Churned
726,France,Female,24,6,0,2,2,Has Credit Card,54724.03,Churned
732,France,Male,41,8,0,2,2,Has Credit Card,170886.17,Churned
636,Spain,Female,32.34,8,0,2,2,No Credit Card,138555.46,Churned
510,Spain,Female,38,4,0,1,1,No Credit Card,118913.53,Stayed
669,France,Male,46,3,0,2,2,Has Credit Card,8487.75,Churned
846,France,Female,38,5,0,1,1,Has Credit Card,187616.16,Churned
577,France,Male,25,3,0,2,2,Has Credit Card,124508.29,Churned
756,Germany,Male,36.44,2,136815.64,1,1,Has Credit Card,170041.95,Churned
571,France,Male,44,9,0,2,2,No Credit Card,38433.35,Churned
574,Germany,Female,43,3,141349.43,1,1,Has Credit Card,100187.43,Churned
411,France,Male,29,0,59697.17,2,2,Has Credit Card,53483.21,Churned
591,Spain,Female,39,3,0,3,3,No Credit Card,140469.38,Stayed
533,France,Male,36,7,85311.7,1,1,Has Credit Card,156731.91,Churned
553,Germany,Male,41,9,110112.54,2,2,No Credit Card,81898.81,Churned
520,Spain,Female,42,6,0,2,2,Has Credit Card,34410.55,Churned
722,Spain,Female,29,9,0,2,2,Has Credit Card,142033.07,Churned
475,France,Female,45,0,134264.04,1,1,No Credit Card,27822.99,Stayed
490,Spain,Male,31,3,145260.23,1,1,Has Credit Card,114066.77,Churned
804,Spain,Male,33,7,76548.6,1,1,Has Credit Card,98453.45,Churned
850,France,Male,36,7,0,1,1,Has Credit Card,40812.9,Churned
582,Germany,Male,41,6,70349.48,2,2,Has Credit Card,178074.04,Churned
472,Spain,Male,40,4,0,1,1,No Credit Card,70154.22,Churned
465,France,Female,51,8,122522.32,1,1,No Credit Card,181297.65,Stayed
556,France,Female,61,2,117419.35,1,1,Has Credit Card,94153.83,Churned
834,France,Female,49,2,131394.56,1,1,No Credit Card,194365.76,Stayed
660,Spain,Female,61,5,155931.11,1,1,Has Credit Card,158338.39,Churned
776,Germany,Female,32,4,109421.13,2,2,Has Credit Card,126517.46,Churned
829,Germany,Female,27,9,112045.67,1,1,Has Credit Card,119708.21,Stayed
637,Germany,Female,39,9,137843.8,1,1,Has Credit Card,117622.8,Stayed
550,Germany,Male,38,2,103391.38,1,1,Has Credit Card,90878.13,Churned
776,Germany,Female,37,2,103769.22,2,2,No Credit Card,194099.12,Churned
698,Germany,Male,44,10,116363.37,2,2,No Credit Card,198059.16,Churned
585,Germany,Male,36,5,146050.97,2,2,No Credit Card,86424.57,Churned
788,France,Female,33,5,0,2,2,No Credit Card,116978.19,Churned
655,Germany,Male,41,8,125561.97,1,1,No Credit Card,164040.94,Stayed
601,Germany,Male,42,1,98495.72,1,1,No Credit Card,40014.76,Stayed
619,France,Male,43,1,125211.92,1,1,Has Credit Card,113410.49,Churned
